variable,replicate,drug
0.26961411920585504,180807_paBBT_fg,6.4
0.691090812515877,180807_paBBT_fg,6.4
0.631125238899033,180807_paBBT_fg,6.4
0.460881397879336,180807_paBBT_fg,6.4
0.35944979175808506,180807_paBBT_fg,6.4
0.24031207011549802,180807_paBBT_fg,6.4
0.38513829437473207,180807_paBBT_fg,6.4
0.556300179389885,180807_paBBT_fg,6.4
0.299059839308615,180807_paBBT_fg,6.4
0.18684502852577803,180807_paBBT_fg,6.4
0.6274111378380429,180807_paBBT_fg,6.4
0.27182627519125896,180807_paBBT_fg,6.4
0.5588209550653311,180807_paBBT_fg,6.4
0.671365792394687,180807_paBBT_fg,6.4
0.553981990274028,180807_paBBT_fg,6.4
0.635331622703761,180807_paBBT_fg,6.4
0.7813760031934069,180807_paBBT_fg,6.4
0.6945871303957241,180807_paBBT_fg,6.4
0.738672336500006,180807_paBBT_fg,6.4
0.578615888171661,180807_paBBT_fg,6.4
0.221965425141716,180807_paBBT_fg,6.4
0.524158958104252,180807_paBBT_fg,6.4
0.41670573452203796,180807_paBBT_fg,6.4
0.344672485389991,180807_paBBT_fg,6.4
0.39196939140405296,180807_paBBT_fg,6.4
0.45847493559622704,180807_paBBT_fg,6.4
0.8107464173672929,180807_paBBT_fg,6.4
0.546153016449824,180807_paBBT_fg,6.4
0.548505158813453,180807_paBBT_fg,6.4
0.736611912325223,180807_paBBT_fg,6.4
0.305813845390308,180807_paBBT_fg,6.4
0.60280654016334,180807_paBBT_fg,6.4
0.7514371566588589,180807_paBBT_fg,6.4
0.6960777863611971,180807_paBBT_fg,6.4
0.7882482735365981,180807_paBBT_fg,6.4
0.176212231914709,180807_paBBT_fg,6.4
0.24598175981663,180807_paBBT_fg,6.4
0.5038483366458879,180807_paBBT_fg,6.4
0.521328355506274,180807_paBBT_fg,6.4
0.303938039369113,180807_paBBT_fg,6.4
0.48158254670236794,180807_paBBT_fg,6.4
0.162154218947195,180807_paBBT_fg,6.4
0.659880280824251,180807_paBBT_fg,6.4
0.543237309443647,180807_paBBT_fg,6.4
0.486127415764601,180807_paBBT_fg,6.4
0.709106606311523,180807_paBBT_fg,6.4
0.824903902955793,180807_paBBT_fg,6.4
0.14737003965377998,180807_paBBT_fg,6.4
0.338919867504076,180807_paBBT_fg,6.4
0.559627555938231,180807_paBBT_fg,6.4
0.7744822637932859,180807_paBBT_fg,6.4
0.6093111672315079,180807_paBBT_fg,6.4
0.5248379408485759,180807_paBBT_fg,6.4
0.24134958460818398,180807_paBBT_fg,6.4
0.23245388600191,180807_paBBT_fg,6.4
0.416993877512159,180807_paBBT_fg,6.4
0.21075753866092997,180807_paBBT_fg,6.4
0.738389296399344,180807_paBBT_fg,6.4
0.5626038324657839,180807_paBBT_fg,6.4
0.644058945371316,180807_paBBT_fg,6.4
0.25453571272164,180807_paBBT_fg,6.4
0.18745180360615998,180807_paBBT_fg,6.4
0.064353668885803,180807_paBBT_fg,6.4
0.49474586075562105,180807_paBBT_fg,6.4
0.13780391815270998,180807_paBBT_fg,6.4
0.706694337636909,180807_paBBT_fg,6.4
0.38300348199344003,180807_paBBT_fg,6.4
0.46054477856960296,180807_paBBT_fg,6.4
0.235173617435901,180807_paBBT_fg,6.4
0.433335638848231,180807_paBBT_fg,6.4
0.461329553241964,180807_paBBT_fg,6.4
0.582396678832809,180807_paBBT_fg,6.4
0.617385589201655,180807_paBBT_fg,6.4
0.541916728581165,180807_paBBT_fg,6.4
0.457860882434512,180807_paBBT_fg,6.4
0.689162462972531,180807_paBBT_fg,6.4
0.438120651435019,180807_paBBT_fg,6.4
0.827633202085839,180807_paBBT_fg,6.4
0.575902147253898,180807_paBBT_fg,6.4
0.615818798615895,180807_paBBT_fg,6.4
0.47413642487024105,180807_paBBT_fg,6.4
0.315371717695309,180807_paBBT_fg,6.4
0.617373462482016,180807_paBBT_fg,6.4
0.346309005476195,180807_paBBT_fg,6.4
0.206730537327554,180807_paBBT_fg,6.4
0.438941576843661,180807_paBBT_fg,6.4
0.40411474395998104,180807_paBBT_fg,6.4
0.157177403121573,180807_paBBT_fg,6.4
0.6742345021489922,180807_paBBT_fg,6.4
0.348664111860783,180807_paBBT_fg,6.4
0.25302629995900894,180807_paBBT_fg,6.4
0.36747591253802003,180807_paBBT_fg,6.4
0.627483068236416,180807_paBBT_fg,6.4
0.5558357453527171,180807_paBBT_fg,6.4
0.668243775896851,180807_paBBT_fg,6.4
0.840120828868165,180807_paBBT_fg,6.4
0.8551478747978349,180807_paBBT_fg,6.4
0.339426851022261,180807_paBBT_fg,6.4
0.611996136959837,180807_paBBT_fg,6.4
0.122801071723444,180807_paBBT_fg,6.4
0.43583947384306,180807_paBBT_fg,6.4
0.803875182112683,180807_paBBT_fg,6.4
0.796786081188601,180807_paBBT_fg,6.4
0.352598985735096,180807_paBBT_fg,6.4
0.6107226865549951,180807_paBBT_fg,6.4
0.070542110717456,180807_paBBT_fg,6.4
0.43469787833461,180807_paBBT_fg,6.4
0.7899059597463509,180807_paBBT_fg,6.4
0.789542012194494,180807_paBBT_fg,6.4
0.362683195928856,180807_paBBT_fg,6.4
0.714919309029235,180807_paBBT_fg,6.4
0.231823155699246,180807_paBBT_fg,6.4
0.545176654135954,180807_paBBT_fg,6.4
0.377753281925646,180807_paBBT_fg,6.4
0.656655750703126,180807_paBBT_fg,6.4
0.16765266599553197,180807_paBBT_fg,6.4
0.33541959212998806,180807_paBBT_fg,6.4
0.503155440784915,180807_paBBT_fg,6.4
0.843108513213287,180807_paBBT_fg,6.4
0.638147139180211,180807_paBBT_fg,6.4
0.264838811621581,180807_paBBT_fg,6.4
0.05549325020943,180807_paBBT_fg,6.4
0.704852243341991,180807_paBBT_fg,6.4
0.6655728778918659,180807_paBBT_fg,6.4
0.31574249061613296,180807_paBBT_fg,6.4
0.501390861130865,180807_paBBT_fg,6.4
0.719104102217198,180807_paBBT_fg,6.4
0.535519981380605,180807_paBBT_fg,6.4
0.603721787603164,180807_paBBT_fg,6.4
0.08834677256981499,180807_paBBT_fg,6.4
0.293264450375893,180807_paBBT_fg,6.4
0.515931820354848,180807_paBBT_fg,6.4
0.553388193468055,180807_paBBT_fg,6.4
0.598241306267729,180807_paBBT_fg,6.4
0.5651233547991129,180807_paBBT_fg,6.4
0.5875184858562839,180807_paBBT_fg,6.4
0.655516594859411,180807_paBBT_fg,6.4
0.5755809176940611,180807_paBBT_fg,6.4
0.7568694224569441,180807_paBBT_fg,6.4
0.860933504601189,180807_paBBT_fg,6.4
0.7589605177167029,180807_paBBT_fg,6.4
0.8204858437879771,180807_paBBT_fg,6.4
0.541177211740265,180807_paBBT_fg,6.4
0.609504199625723,180807_paBBT_fg,6.4
0.695507249097393,180807_paBBT_fg,6.4
0.529913895469035,180807_paBBT_fg,6.4
0.400459861087455,180807_paBBT_fg,6.4
0.059813838034443,180807_paBBT_fg,6.4
0.667518505355914,180807_paBBT_fg,6.4
0.6776002263254489,180807_paBBT_fg,6.4
0.259545785571616,180807_paBBT_fg,6.4
0.38187181601643605,180807_paBBT_fg,6.4
0.6316423324350551,180807_paBBT_fg,6.4
0.5973749479424689,180807_paBBT_fg,6.4
0.20235283299875603,180807_paBBT_fg,6.4
0.586168435067125,180807_paBBT_fg,6.4
0.47108040325389794,180807_paBBT_fg,6.4
0.6117412556623001,180807_paBBT_fg,6.4
0.6004949994834311,180807_paBBT_fg,6.4
0.376623802624814,180807_paBBT_fg,6.4
0.144672855980212,180807_paBBT_fg,6.4
0.297632490023516,180807_paBBT_fg,6.4
0.45749532860632003,180807_paBBT_fg,6.4
0.665209329248045,180807_paBBT_fg,6.4
0.5599653853863771,180807_paBBT_fg,6.4
0.607553444096062,180807_paBBT_fg,6.4
0.7213355620289921,180807_paBBT_fg,6.4
0.715454497570351,180807_paBBT_fg,6.4
0.43703331057471095,180807_paBBT_fg,6.4
0.14527308595359803,180807_paBBT_fg,6.4
0.212833414065247,180807_paBBT_fg,6.4
0.7134340699656241,180807_paBBT_fg,6.4
0.21747677847749497,180807_paBBT_fg,6.4
0.6613411073389649,180807_paBBT_fg,6.4
0.8176520798197041,180807_paBBT_fg,6.4
0.29721919895854604,180807_paBBT_fg,6.4
0.16568414222307598,180807_paBBT_fg,6.4
0.290405095296318,180807_paBBT_fg,6.4
0.32588978392155604,180807_paBBT_fg,6.4
0.4219247510796189,180807_paBBT_fg,6.4
0.780068752197503,180807_paBBT_fg,6.4
0.36970753053986,180807_paBBT_fg,6.4
0.364026572374183,180807_paBBT_fg,6.4
0.5731092692269311,180807_paBBT_fg,6.4
0.705233957409919,180807_paBBT_fg,6.4
