order,replicate,dose
0.6171579812717221,180807_paBBT_fg,0.4
0.344030249921324,180807_paBBT_fg,0.4
0.17575203668928602,180807_paBBT_fg,0.4
0.64112596636836,180807_paBBT_fg,0.4
0.648572890062172,180807_paBBT_fg,0.4
0.362934002866341,180807_paBBT_fg,0.4
0.350229235076089,180807_paBBT_fg,0.4
0.740834252371504,180807_paBBT_fg,0.4
0.7597175799009019,180807_paBBT_fg,0.4
0.58101206517421,180807_paBBT_fg,0.4
0.0817840274985995,180807_paBBT_fg,0.4
0.125329366516587,180807_paBBT_fg,0.4
0.684189957117891,180807_paBBT_fg,0.4
0.541522246558889,180807_paBBT_fg,0.4
0.5703159912883979,180807_paBBT_fg,0.4
0.679186743836276,180807_paBBT_fg,0.4
0.164602967927731,180807_paBBT_fg,0.4
0.6389569085729699,180807_paBBT_fg,0.4
0.41261450331184096,180807_paBBT_fg,0.4
0.309232868539672,180807_paBBT_fg,0.4
0.630520302697464,180807_paBBT_fg,0.4
0.6808114855482471,180807_paBBT_fg,0.4
0.56591376997286,180807_paBBT_fg,0.4
0.17838639221832994,180807_paBBT_fg,0.4
0.6554003118770679,180807_paBBT_fg,0.4
0.5900659803127271,180807_paBBT_fg,0.4
0.494660484212443,180807_paBBT_fg,0.4
0.4198297446747311,180807_paBBT_fg,0.4
0.137559693217844,180807_paBBT_fg,0.4
0.624177933596316,180807_paBBT_fg,0.4
0.5297688293437159,180807_paBBT_fg,0.4
0.268779393793648,180807_paBBT_fg,0.4
0.6485883378823111,180807_paBBT_fg,0.4
0.218112180698818,180807_paBBT_fg,0.4
0.5856965348001071,180807_paBBT_fg,0.4
0.321460168198039,180807_paBBT_fg,0.4
0.450657648409701,180807_paBBT_fg,0.4
0.668386554897576,180807_paBBT_fg,0.4
0.506825715673108,180807_paBBT_fg,0.4
0.467725313044464,180807_paBBT_fg,0.4
0.528039975817988,180807_paBBT_fg,0.4
0.471028688935996,180807_paBBT_fg,0.4
0.623261992726077,180807_paBBT_fg,0.4
0.5950883331134879,180807_paBBT_fg,0.4
0.546100373327746,180807_paBBT_fg,0.4
0.6365745141831429,180807_paBBT_fg,0.4
0.882565870004607,180807_paBBT_fg,0.4
0.6306280705813361,180807_paBBT_fg,0.4
0.272257200141649,180807_paBBT_fg,0.4
0.6952133641177851,180807_paBBT_fg,0.4
0.3690566591715671,180807_paBBT_fg,0.4
0.7960767554933299,180807_paBBT_fg,0.4
0.611077047859672,180807_paBBT_fg,0.4
0.6400397187998511,180807_paBBT_fg,0.4
0.367341488796186,180807_paBBT_fg,0.4
0.5478069923586201,180807_paBBT_fg,0.4
0.6977691608919351,180807_paBBT_fg,0.4
0.601309966207044,180807_paBBT_fg,0.4
0.517714538787207,180807_paBBT_fg,0.4
0.7855714404658809,180807_paBBT_fg,0.4
0.30121520289437,180807_paBBT_fg,0.4
0.748542289729014,180807_paBBT_fg,0.4
0.7552403326884809,180807_paBBT_fg,0.4
0.821880259140123,180807_paBBT_fg,0.4
0.631837529366606,180807_paBBT_fg,0.4
0.6907504516684829,180807_paBBT_fg,0.4
0.353776275727733,180807_paBBT_fg,0.4
0.813710938464237,180807_paBBT_fg,0.4
0.577741194626692,180807_paBBT_fg,0.4
0.5764749933046079,180807_paBBT_fg,0.4
0.949040113551537,180807_paBBT_fg,0.4
0.7349177939377309,180807_paBBT_fg,0.4
0.377286153867461,180807_paBBT_fg,0.4
0.7933067595048571,180807_paBBT_fg,0.4
0.319588652332439,180807_paBBT_fg,0.4
0.4476501073139749,180807_paBBT_fg,0.4
0.617842592424596,180807_paBBT_fg,0.4
0.748375319784929,180807_paBBT_fg,0.4
0.8465406769343791,180807_paBBT_fg,0.4
0.5246021591346199,180807_paBBT_fg,0.4
0.0616511120875712,180807_paBBT_fg,0.4
0.232895700677882,180807_paBBT_fg,0.4
0.7172891228620891,180807_paBBT_fg,0.4
0.520564705121296,180807_paBBT_fg,0.4
0.675495838740053,180807_paBBT_fg,0.4
0.202115097543374,180807_paBBT_fg,0.4
0.7503014674450791,180807_paBBT_fg,0.4
0.58678824841598,180807_paBBT_fg,0.4
0.335087221122459,180807_paBBT_fg,0.4
0.7182344641806379,180807_paBBT_fg,0.4
0.146905721306197,180807_paBBT_fg,0.4
0.30528300855956103,180807_paBBT_fg,0.4
0.6253390809505389,180807_paBBT_fg,0.4
0.33808474179092696,180807_paBBT_fg,0.4
0.457399397953998,180807_paBBT_fg,0.4
0.560988774679083,180807_paBBT_fg,0.4
0.388041630991823,180807_paBBT_fg,0.4
0.5977216412702321,180807_paBBT_fg,0.4
0.6719507885361751,180807_paBBT_fg,0.4
0.7575088076780858,180807_paBBT_fg,0.4
0.731830266168411,180807_paBBT_fg,0.4
0.383849038910094,180807_paBBT_fg,0.4
0.035723694512084,180807_paBBT_fg,0.4
0.5543074900270749,180807_paBBT_fg,0.4
0.351393132065247,180807_paBBT_fg,0.4
0.658847706745588,180807_paBBT_fg,0.4
0.237074338321154,180807_paBBT_fg,0.4
0.5111410872439389,180807_paBBT_fg,0.4
0.279114382802583,180807_paBBT_fg,0.4
0.350624738628041,180807_paBBT_fg,0.4
0.39886720081172494,180807_paBBT_fg,0.4
0.8555547310254841,180807_paBBT_fg,0.4
0.355223652966454,180807_paBBT_fg,0.4
0.341539550464726,180807_paBBT_fg,0.4
0.530537329273126,180807_paBBT_fg,0.4
0.485474075849405,180807_paBBT_fg,0.4
0.590069340088669,180807_paBBT_fg,0.4
0.673141712787859,180807_paBBT_fg,0.4
0.500260561684306,180807_paBBT_fg,0.4
0.44781276559660704,180807_paBBT_fg,0.4
0.385024961407009,180807_paBBT_fg,0.4
0.381035598078089,180807_paBBT_fg,0.4
0.487094990808548,180807_paBBT_fg,0.4
0.402420837951049,180807_paBBT_fg,0.4
0.530805159151443,180807_paBBT_fg,0.4
0.41741194710603496,180807_paBBT_fg,0.4
0.6805949668992131,180807_paBBT_fg,0.4
